eNB1	eNB2	Using
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	0
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
33.7792	-14.2785	33.7792
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
37.8525	-10.8787	37.8525
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
38.1962	-12.1994	38.1962
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
42.2656	-11.8702	42.2656
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
40.2494	-9.46544	40.2494
38.6923	-12.7894	38.6923
38.453	-12.5092	38.453
37.8307	-10.4432	37.8307
36.8967	-9.71961	36.8967
36.1058	-10.8618	36.1058
35.9629	-12.8981	35.9629
36.2937	-12.3534	36.2937
36.6111	-10.3215	36.6111
