eNB1	eNB2	Using
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	0
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
33.7792	21.6863	33.7792
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
37.8525	25.0861	37.8525
